Date,Task,Notes
"04/11/2025","Full clean","Deep cleaned coop"
"04/24/2025","Quick clean","Removed waste"
"05/08/2025","Full clean","Refreshed bedding"
"05/22/2025","Quick clean","General cleanup"
"06/05/2025","Full clean","Deep clean"
"06/19/2025","Quick clean","Waste removal"
"07/03/2025","Full clean","Refreshed bedding"
"07/17/2025","Quick clean","General cleanup"
"07/31/2025","Full clean","Deep clean"
"08/14/2025","Quick clean","Waste removal"
"08/28/2025","Full clean","Refreshed bedding"
"09/11/2025","Quick clean","General cleanup"
"09/25/2025","Full clean","Deep clean"
"10/09/2025","Quick clean","Waste removal"
"10/23/2025","Full clean","Refreshed bedding"
"11/06/2025","Quick clean","General cleanup"
"11/20/2025","Full clean","Deep clean"
"12/04/2025","Quick clean","Waste removal"
"12/18/2025","Full clean","Winter prep clean"
"01/01/2026","Quick clean","New year cleanup"
"01/15/2026","Full clean","Deep clean"
"01/29/2026","Quick clean","Waste removal"
"02/12/2026","Full clean","Refreshed bedding"
"02/26/2026","Quick clean","General cleanup"
"03/12/2026","Full clean","Deep clean"
"03/26/2026","Quick clean","Waste removal"
"04/08/2026","Full clean","Spring clean"
